PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEUI(kBtu/sf),Electricity(kBtu),NaturalGas(kBtu)
Hotel,DOWNTOWN,1967,1.0,4,44416,0,44416,Hotel,,50.70000076,1495543.0,1174021.0
Mixed Use Property,DOWNTOWN,2006,1.0,2,33792,22867,10925,Social/Meeting Hall,Parking,241.1000061,2269684.0,278164.0
K-12 School,MAGNOLIA / QUEEN ANNE,2001,1.0,1,35805,0,35805,K-12 School,,12.10000038,246628.0,184844.0
Worship Facility,Northwest,1928,1.0,2,45991,0,45991,Worship Facility,,24.89999962,529029.0,616507.0
Small- and Mid-Sized Office,NORTHEAST,1989,1.0,2,20384,0,20384,Office,,71.59999847,1760118.0,30954.0
Retail Store,NORTHEAST,1956,1.0,2,39265,0,39265,Retail Store,Office,133.3999939,5009101.0,229701.0
Retail Store,NORTHEAST,1956,1.0,2,54284,0,54284,Retail Store,Other,124.0,6424200.0,354493.0
Retail Store,NORTHEAST,1956,1.0,1,23409,0,23409,Retail Store,Other,108.6999969,2314166.0,231239.0
Retail Store,NORTHEAST,1997,1.0,1,63153,0,63153,Retail Store,Non-Refrigerated Warehouse,73.5,4312919.0,331258.0
Hotel,NORTHEAST,1961,2.0,2,24100,0,24100,Hotel,,51.40000153,817987.0,769468.0
Restaurant,DOWNTOWN,1923,1.0,3,33600,0,33600,Restaurant,Office,133.1999969,2941315.0,1534335.0
Other,DOWNTOWN,1927,1.0,4,32356,0,32356,Financial Office,Bank Branch,57.40000153,974524.0,0.0
Hotel,DOWNTOWN,1960,1.0,7,61180,12960,48220,Hotel,,65.30000305,1859869.0,2134044.0
Small- and Mid-Sized Office,DOWNTOWN,1978,1.0,5,43506,11250,32256,Office,Parking,106.1999969,1834098.0,1626177.0
Worship Facility,Northwest,1910,1.0,2,23931,0,23931,Worship Facility,,20.70000076,167075.0,329402.0
Worship Facility,Northwest,1948,1.0,2,21393,0,21393,Worship Facility,,39.5,266359.0,579602.0
Mixed Use Property,SOUTHEAST,1990,1.0,2,47560,0,47560,Distribution Center,Non-Refrigerated Warehouse,24.0,583296.0,549194.0
University,DOWNTOWN,1910,1.0,3,28800,0,28800,College/University,,24.89999962,642346.0,74710.0
K-12 School,DOWNTOWN,1957,1.0,2,21600,0,21600,K-12 School,,58.40000153,609724.0,651813.0
K-12 School,DOWNTOWN,1995,1.0,3,22860,0,22860,K-12 School,,40.70000076,931148.0,0.0
Worship Facility,NORTHEAST,1972,1.0,1,26366,0,26366,Worship Facility,Parking,33.70000076,323802.0,564230.0
Worship Facility,SOUTHEAST,1965,1.0,2,21732,0,21732,Worship Facility,,39.59999847,479159.0,381205.0
Mixed Use Property,BALLARD,1945,1.0,1,21060,0,21060,Non-Refrigerated Warehouse,Retail Store,14.30000019,258178.0,92087.0
Mixed Use Property,BALLARD,1960,1.0,4,20539,0,20539,Retail Store,Multifamily Housing,81.0,1123427.0,555032.0
K-12 School,NORTHEAST,1958,1.0,1,38624,0,38624,K-12 School,,34.40000153,798804.0,625352.0
Retail Store,NORTHEAST,1900,1.0,3,32960,0,32960,Retail Store,,24.70000076,813641.0,0.0
Other,NORTHEAST,1921,1.0,3,29636,0,29636,Other - Entertainment/Public Assembly,Multifamily Housing,23.20000076,688642.0,0.0
Hotel,NORTHEAST,1930,1.0,3,20571,0,20571,Hotel,,34.79999924,716279.0,0.0
Worship Facility,NORTHEAST,1926,1.0,2,47992,0,47992,Worship Facility,Other,63.29999924,934028.0,2106168.0
Worship Facility,NORTHEAST,2000,1.0,2,31386,0,31386,Worship Facility,,37.59999847,710478.0,417701.0
K-12 School,NORTHEAST,1989,5.0,3,21500,0,21500,K-12 School,,69.59999847,3307692.0,3381491.0
Small- and Mid-Sized Office,LAKE UNION,2012,1.0,2,84116,26497,57619,Office,,48.0,2605669.0,36012.0
Hotel,DOWNTOWN,1925,1.0,9,104000,0,104000,Hotel,Restaurant,83.59999847,4159822.0,952277.0
K-12 School,GREATER DUWAMISH,1971,1.0,1,55206,0,55206,K-12 School,,42.5,1359846.0,985906.0
Mixed Use Property,BALLARD,2007,1.0,2,38784,0,38784,Non-Refrigerated Warehouse,Office,54.70000076,1553414.0,287740.0
Other,GREATER DUWAMISH,1969,1.0,2,41790,0,41790,Social/Meeting Hall,Office,52.09999847,1782740.0,394335.0
Small- and Mid-Sized Office,DOWNTOWN,1900,1.0,5,39960,0,39960,Office,Other,54.5,1424622.0,754068.0
Warehouse,DOWNTOWN,1900,1.0,5,33300,0,33300,Non-Refrigerated Warehouse,Retail Store,3.0,90559.0,0.0
Hotel,DOWNTOWN,1926,1.0,11,36240,0,36240,Hotel,,59.29999924,456350.0,533500.0
Other,DOWNTOWN,1922,1.0,3,39320,6960,32360,Social/Meeting Hall,,77.40000153,957761.0,919779.0
Other,DOWNTOWN,1908,1.0,5,41536,0,41536,Performing Arts,,65.90000153,2735166.0,0.0
Hotel,DOWNTOWN,1909,1.0,6,35820,0,35820,Hotel,,92.69999695,993349.0,2328254.0
K-12 School,SOUTHWEST,1922,1.0,2,33462,0,33462,K-12 School,,68.90000153,574940.0,3412276.0
K-12 School,SOUTHWEST,1965,1.0,3,49744,0,49744,K-12 School,,42.20000076,478349.0,1618486.0
Worship Facility,SOUTHWEST,1923,1.0,2,37816,0,37816,Worship Facility,K-12 School,37.0,682782.0,728523.0
Mixed Use Property,SOUTHWEST,1926,0.0,2,23315,0,23315,Office,Retail Store,81.30000305,799029.0,554971.0
Mixed Use Property,SOUTHWEST,1930,1.0,2,20700,0,20700,Non-Refrigerated Warehouse,Restaurant,206.1000061,821211.0,3444604.0
Other,SOUTHWEST,1948,1.0,1,41521,13124,28397,Other - Recreation,Parking,116.0,1676726.0,1666824.0
Supermarket / Grocery Store,SOUTHWEST,1946,1.0,2,25762,0,25762,Supermarket/Grocery Store,,74.0,1906385.0,0.0
Other,SOUTHWEST,1984,1.0,1,33334,0,33334,Fitness Center/Health Club/Gym,Swimming Pool,122.4000015,2484706.0,3633594.0
Small- and Mid-Sized Office,SOUTHWEST,1981,1.0,3,43387,0,43387,Office,,59.70000076,2352594.0,334171.0
Mixed Use Property,NORTH,1979,1.0,1,39350,0,39350,Supermarket/Grocery Store,Retail Store,6.5,267135.0,0.0
Other,NORTH,1949,0.0,1,22405,0,22405,Other,Retail Store,189.1000061,1110079.0,2388136.0
Other,NORTH,2013,1.0,1,32590,0,32590,Other,,41.79999924,632722.0,729072.0
Warehouse,GREATER DUWAMISH,1985,1.0,1,37500,0,37500,Non-Refrigerated Warehouse,,29.5,1799898.0,11608.0
Medical Office,CENTRAL,1990,1.0,2,39000,0,39000,Medical Office,,67.09999847,2275174.0,340073.0
Other,SOUTHWEST,1924,1.0,1,22180,0,22180,Other - Mall,Restaurant,229.3999939,2671917.0,2417166.0
K-12 School,GREATER DUWAMISH,1971,1.0,1,51704,0,51704,K-12 School,,34.79999924,1167845.0,631557.0
Distribution Center,GREATER DUWAMISH,1969,1.0,1,25920,0,25920,Distribution Center,Refrigerated Warehouse,47.09999847,1133481.0,86264.0
Refrigerated Warehouse,GREATER DUWAMISH,1953,1.0,1,25480,0,25480,Refrigerated Warehouse,,29.10000038,741287.0,0.0
Warehouse,GREATER DUWAMISH,1970,1.0,2,31000,0,31000,Non-Refrigerated Warehouse,,74.19999695,2216816.0,84227.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1961,1.0,1,29740,0,29740,Office,Non-Refrigerated Warehouse,48.90000153,1259195.0,207865.0
Distribution Center,GREATER DUWAMISH,1954,1.0,1,23236,0,23236,Distribution Center,Office,18.70000076,217294.0,216577.0
Small- and Mid-Sized Office,SOUTHEAST,2009,1.0,3,38075,0,38075,Office,K-12 School,50.5,1799412.0,122389.0
Small- and Mid-Sized Office,SOUTHEAST,1970,1.0,2,39170,0,39170,Office,,60.0,1085835.0,1044839.0
Other,SOUTHEAST,1977,0.0,1,36070,0,36070,Other - Recreation,,21.60000038,1441665.0,0.0
Other,SOUTHEAST,1963,1.0,2,20047,0,20047,Other - Services,,5.900000095,117438.0,0.0
Retail Store,GREATER DUWAMISH,1914,1.0,1,20000,0,20000,Retail Store,,27.89999962,557864.0,0.0
Warehouse,GREATER DUWAMISH,1955,1.0,2,32400,0,32400,Non-Refrigerated Warehouse,,7.599999905,248616.0,0.0
Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1962,1.0,1,25159,0,25159,Supermarket/Grocery Store,Parking,344.1000061,4878886.0,4026400.0
Other,MAGNOLIA / QUEEN ANNE,1948,1.0,1,27247,0,27247,Other - Recreation,Fitness Center/Health Club/Gym,90.40000153,884313.0,1448683.0
Distribution Center,GREATER DUWAMISH,1955,1.0,1,26680,0,26680,Distribution Center,,7.199999809,243518.0,0.0
Warehouse,DELRIDGE,1953,1.0,1,31521,0,31521,Non-Refrigerated Warehouse,,56.70000076,720945.0,1067203.0
Warehouse,GREATER DUWAMISH,1951,1.0,1,24000,0,24000,Non-Refrigerated Warehouse,Office,52.40000153,436193.0,820840.0
Self-Storage Facility,GREATER DUWAMISH,1952,1.0,1,21900,0,21900,Self-Storage Facility,,60.90000153,112187.0,1221451.0
Retail Store,GREATER DUWAMISH,1953,1.0,1,39900,0,39900,Retail Store,Non-Refrigerated Warehouse,3.599999905,49005.0,96464.0
Warehouse,GREATER DUWAMISH,1961,1.0,1,38005,0,38005,Non-Refrigerated Warehouse,Self-Storage Facility,19.79999924,632708.0,119386.0
Distribution Center,GREATER DUWAMISH,1998,1.0,1,35579,0,35579,Distribution Center,,30.79999924,416047.0,680599.0
Distribution Center,GREATER DUWAMISH,1975,1.0,1,49950,0,49950,Distribution Center,,4.800000191,238970.0,0.0
K-12 School,EAST,2001,1.0,3,62078,0,62078,K-12 School,,31.5,1151755.0,803258.0
Worship Facility,MAGNOLIA / QUEEN ANNE,1947,1.0,2,22612,0,22612,Worship Facility,,32.29999924,156920.0,574402.0
Other,NORTH,1976,1.0,2,38787,0,38787,Automobile Dealership,Parking,82.59999847,2225423.0,979262.0
Self-Storage Facility,NORTH,1988,2.0,2,50368,0,50368,Self-Storage Facility,,15.0,247692.0,505583.0
Warehouse,GREATER DUWAMISH,1938,1.0,1,30545,0,30545,Non-Refrigerated Warehouse,Office,51.59999847,481781.0,1095260.0
K-12 School,MAGNOLIA / QUEEN ANNE,1922,1.0,3,32691,0,32691,K-12 School,,29.0,472481.0,499509.0
Worship Facility,MAGNOLIA / QUEEN ANNE,1963,1.0,2,24227,0,24227,Worship Facility,,41.5,219393.0,867285.0
Distribution Center,GREATER DUWAMISH,1956,1.0,1,27000,0,27000,Distribution Center,,24.10000038,341140.0,310153.0
K-12 School,LAKE UNION,1999,1.0,3,95501,0,95501,K-12 School,,31.5,2100632.0,909335.0
Small- and Mid-Sized Office,LAKE UNION,1957,1.0,2,21183,0,21183,Office,Parking,25.89999962,361542.0,0.0
Small- and Mid-Sized Office,LAKE UNION,1961,1.0,3,29392,3834,25558,Office,Parking,25.70000076,735889.0,19729.0
Large Office,LAKE UNION,1985,1.0,5,137738,55504,82234,Office,Parking,57.20000076,4704936.0,0.0
Large Office,LAKE UNION,2013,1.0,5,206126,79284,126842,Office,Parking,32.0,3601473.0,887828.0
Small- and Mid-Sized Office,LAKE UNION,1900,1.0,2,20500,0,20500,Office,,64.69999695,1282333.0,43845.0
Worship Facility,NORTHEAST,1930,1.0,2,25521,0,25521,Worship Facility,,23.70000076,361384.0,243802.0
K-12 School,NORTHEAST,1986,1.0,1,23190,0,23190,K-12 School,,73.5,486316.0,1219199.0
Small- and Mid-Sized Office,NORTHWEST,1960,1.0,1,20678,0,20678,Office,,33.29999924,179517.0,590816.0
K-12 School,NORTHWEST,1922,1.0,3,28820,0,28820,K-12 School,,76.80000305,680757.0,1915026.0
Worship Facility,SOUTHEAST,1954,1.0,2,27876,0,27876,Worship Facility,,40.79999924,611581.0,1218400.0
K-12 School,MAGNOLIA / QUEEN ANNE,1925,1.0,1,48789,0,48789,K-12 School,,26.60000038,857142.0,441165.0
K-12 School,SOUTHEAST,1925,1.0,1,33105,0,33105,K-12 School,,52.09999847,473807.0,1251530.0
Warehouse,GREATER DUWAMISH,1977,1.0,1,22320,0,22320,Non-Refrigerated Warehouse,,19.70000076,439066.0,0.0
Other,GREATER DUWAMISH,1976,1.0,1,47105,0,47105,Manufacturing/Industrial Plant,,225.8000031,4233850.0,6000871.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1982,1.0,2,40029,0,40029,Office,Non-Refrigerated Warehouse,36.79999924,1471914.0,0.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1970,1.0,2,28304,0,28304,Office,,46.70000076,1269367.0,0.0
Other,GREATER DUWAMISH,1970,1.0,1,26400,0,26400,Other - Recreation,Non-Refrigerated Warehouse,16.29999924,452612.0,0.0
Warehouse,GREATER DUWAMISH,1968,1.0,1,27680,0,27680,Non-Refrigerated Warehouse,Office,64.19999695,642420.0,1136012.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1969,1.0,2,25872,0,25872,Office,Non-Refrigerated Warehouse,69.09999847,1064725.0,722394.0
Small- and Mid-Sized Office,GREATER DUWAMISH,1969,1.0,2,25872,0,25872,Office,,96.0,985457.0,1413896.0
Warehouse,GREATER DUWAMISH,1969,1.0,1,20500,0,20500,Non-Refrigerated Warehouse,,10.39999962,222600.0,0.0
Small- and Mid-Sized Office,LAKE UNION,1958,1.0,2,21436,0,21436,Office,,24.89999962,534704.0,0.0
Mixed Use Property,NORTHEAST,1998,1.0,1,20233,0,20233,Office,Non-Refrigerated Warehouse,31.10000038,331967.0,298283.0
Small- and Mid-Sized Office,LAKE UNION,2006,1.0,4,39926,12400,27526,Office,Parking,36.70000076,849654.0,161314.0
Small- and Mid-Sized Office,LAKE UNION,1985,1.0,3,31417,8110,23307,Office,Parking,42.79999924,687472.0,438685.0
Self-Storage Facility,DOWNTOWN,1928,1.0,6,46580,0,46580,Self-Storage Facility,,15.19999981,710275.0,0.0
Retail Store,DOWNTOWN,1916,1.0,2,25920,0,25920,Retail Store,,18.5,478690.0,0.0
Retail Store,DOWNTOWN,1919,1.0,2,25920,0,25920,Retail Store,,26.0,867448.0,144219.0
Hotel,DOWNTOWN,1910,1.0,8,61721,0,61721,,,52.20000076,2534592.0,362488.0
Small- and Mid-Sized Office,DOWNTOWN,1919,1.0,2,25920,0,25920,Office,,74.80000305,1057542.0,736309.0
Small- and Mid-Sized Office,EAST,1925,1.0,4,39760,0,39760,Office,,62.29999924,512225.0,227114.0
Other,EAST,1920,1.0,3,30971,0,30971,Other,,91.19999695,1314572.0,1277622.0
Small- and Mid-Sized Office,EAST,1946,1.0,3,22667,0,22667,Office,,166.1999969,1972293.0,155501.0
Warehouse,LAKE UNION,1927,1.0,2,33840,0,33840,Non-Refrigerated Warehouse,Office,65.80000305,1244691.0,982947.0
Mixed Use Property,LAKE UNION,2001,5.0,3,41827,9226,32601,Multifamily Housing,Office,100.3000031,2439095.0,1754275.0
Small- and Mid-Sized Office,LAKE UNION,2001,1.0,5,33740,6010,27730,Office,Retail Store,52.29999924,1291405.0,0.0
Retail Store,LAKE UNION,1911,1.0,2,20516,0,20516,Retail Store,Hotel,56.29999924,264984.0,756812.0
Retail Store,LAKE UNION,1906,1.0,3,27480,0,27480,Retail Store,Office,39.29999924,1215156.0,0.0
Mixed Use Property,LAKE UNION,1947,1.0,1,46958,0,46958,Office,Parking,38.70000076,1436548.0,382320.0
Distribution Center,LAKE UNION,1984,1.0,1,26532,0,26532,Distribution Center,,72.90000153,784585.0,1149639.0
Small- and Mid-Sized Office,LAKE UNION,1981,1.0,2,22388,0,22388,Office,Multifamily Housing,25.70000076,458439.0,117966.0
Other,LAKE UNION,1969,1.0,1,30730,0,30730,Other,,99.30000305,1918002.0,1132453.0
Small- and Mid-Sized Office,LAKE UNION,1986,1.0,2,35600,0,35600,Office,Parking,59.0,2104103.0,69040.0
Worship Facility,MAGNOLIA / QUEEN ANNE,1949,1.0,3,62000,0,62000,Worship Facility,Other,28.89999962,286965.0,1512699.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1981,1.0,2,23600,0,23600,Office,,32.90000153,776249.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1986,1.0,3,40067,0,40067,Office,,57.5,2303732.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1989,1.0,3,26419,6922,19497,Office,,40.70000076,1074989.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1979,1.0,3,25262,0,25262,Office,,58.20000076,1174674.0,294882.0
Other,LAKE UNION,1996,0.0,3,53103,0,53103,Other,,126.0,4788878.0,89080.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1980,1.0,3,34106,0,34106,Office,,49.5,1619177.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1980,1.0,3,34545,0,34545,Office,,67.0,2313979.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1980,1.0,3,70296,0,70296,Office,,39.59999847,2782066.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1902,1.0,4,27838,0,27838,Office,,43.70000076,1217509.0,0.0
Distribution Center,DELRIDGE,1971,2.0,2,28368,0,28368,Distribution Center,Office,41.5,1486130.0,370100.0
Other,NORTHWEST,1964,1.0,2,92080,0,92080,Other,,56.0,3179345.0,1975745.0
Other,NORTHWEST,1961,1.0,1,20236,0,20236,Other - Recreation,,97.09999847,1187424.0,777758.0
Small- and Mid-Sized Office,NORTHWEST,1951,1.0,2,39815,0,39815,Office,Non-Refrigerated Warehouse,51.5,1488811.0,561790.0
Other,NORTHWEST,1970,1.0,4,25557,0,25557,Residential Care Facility,,89.19999695,2280352.0,0.0
Other,NORTHWEST,1958,1.0,2,26994,0,26994,Other - Services,Office,114.0,881662.0,2195151.0
Warehouse,NORTHWEST,1972,1.0,1,48112,0,48112,Non-Refrigerated Warehouse,,30.89999962,1485946.0,0.0
Other,NORTHWEST,2009,1.0,1,20909,0,20909,Other - Public Services,Parking,63.40000153,678411.0,529618.0
Small- and Mid-Sized Office,NORTHWEST,2001,1.0,2,42793,16518,26275,Office,Parking,67.40000153,1772188.0,0.0
Other,NORTHWEST,2007,1.0,2,45000,0,45000,Other - Recreation,,131.3999939,2973668.0,2938397.0
Retail Store,NORTHWEST,1998,1.0,1,26115,0,26115,Retail Store,,64.69999695,1148350.0,541023.0
Worship Facility,NORTHEAST,1949,1.0,1,26033,0,26033,Worship Facility,Parking,38.20000076,340323.0,808817.0
K-12 School,MAGNOLIA / QUEEN ANNE,2007,1.0,4,48660,0,48660,K-12 School,,38.0,822509.0,1059007.0
Retail Store,DOWNTOWN,1920,1.0,2,26400,0,26400,Retail Store,Office,45.5,761163.0,222433.0
Small- and Mid-Sized Office,DOWNTOWN,1918,1.0,3,38148,0,38148,Office,Retail Store,25.10000038,1262255.0,0.0
Mixed Use Property,LAKE UNION,1928,1.0,2,28800,0,28800,Non-Refrigerated Warehouse,Office,15.89999962,249311.0,207642.0
Worship Facility,MAGNOLIA / QUEEN ANNE,1955,1.0,5,31945,0,31945,Worship Facility,Parking,56.5,1806468.0,0.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1985,1.0,5,85963,33055,52908,Office,Parking,84.69999695,4480960.0,0.0
Retail Store,DOWNTOWN,1900,1.0,4,34680,0,34680,Retail Store,,33.70000076,774990.0,394959.0
Worship Facility,DOWNTOWN,1968,1.0,3,75058,34510,40548,Worship Facility,,74.40000153,1057107.0,4530240.0
Small- and Mid-Sized Office,DOWNTOWN,1903,1.0,3,57720,0,57720,Office,,1.0,24105.0,0.0
Retail Store,DOWNTOWN,1915,1.0,1,36504,0,36504,Retail Store,,129.6999969,1968493.0,132489.0
Small- and Mid-Sized Office,DOWNTOWN,1907,1.0,6,35200,0,35200,Office,,85.19999695,2998208.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1907,1.0,5,35840,0,35840,Office,,42.90000153,723240.0,815511.0
Other,DOWNTOWN,1941,1.0,2,25920,0,25920,Bank Branch,,57.40000153,1333432.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1928,1.0,4,30525,0,30525,Office,Retail Store,132.8000031,2121106.0,0.0
Other,EAST,1964,1.0,4,49243,0,49243,Other/Specialty Hospital,,162.1000061,7560588.0,915594.0
Other,EAST,1912,0.0,3,20411,0,20411,Social/Meeting Hall,,98.69999695,774943.0,1239533.0
Medical Office,EAST,1962,1.0,2,30855,10285,20570,Medical Office,,136.6000061,1537788.0,1408968.0
Small- and Mid-Sized Office,EAST,1910,1.0,3,73549,0,73549,Office,Worship Facility,38.5,927581.0,1901370.0
Other,EAST,1988,1.0,5,45780,11400,34380,Other - Education,Parking,236.6999969,5305454.0,55262.0
Medical Office,EAST,1963,0.0,3,39115,0,39115,Medical Office,,74.69999695,2998320.0,736988.0
Other,EAST,1916,1.0,3,38038,0,38038,Other - Entertainment/Public Assembly,Office,29.5,425243.0,0.0
Worship Facility,EAST,1962,1.0,3,37796,0,37796,Worship Facility,Parking,46.5,883838.0,202628.0
Small- and Mid-Sized Office,Ballard,1993,1.0,1,27744,0,27744,Office,Other,193.0,5355752.0,0.0
Warehouse,BALLARD,1960,1.0,1,36444,0,36444,Non-Refrigerated Warehouse,,4.400000095,161311.0,0.0
Warehouse,BALLARD,1950,1.0,1,27553,0,27553,Non-Refrigerated Warehouse,,35.09999847,427592.0,539085.0
Distribution Center,BALLARD,1951,3.0,1,57310,0,57310,Distribution Center,,21.89999962,687408.0,566337.0
Mixed Use Property,LAKE UNION,1920,1.0,2,25920,0,25920,Office,Other - Services,38.20000076,779325.0,209754.0
Restaurant,LAKE UNION,1919,1.0,3,40686,0,40686,Restaurant,,51.79999924,842032.0,1264041.0
Retail Store,LAKE UNION,1964,1.0,2,45271,0,45271,Retail Store,,56.40000153,1146853.0,1406910.0
Small- and Mid-Sized Office,LAKE UNION,1920,1.0,3,28380,12180,16200,Office,,48.40000153,804313.0,567900.0
Large Office,LAKE UNION,2009,1.0,5,508160,0,508160,Office,Parking,82.09999847,21725258.0,6327910.0
Small- and Mid-Sized Office,LAKE UNION,1926,1.0,3,26176,0,26176,Office,,40.70000076,417532.0,549375.0
Small- and Mid-Sized Office,LAKE UNION,1926,1.0,1,37740,0,37740,Office,Parking,198.6000061,6974197.0,468117.0
Other,MAGNOLIA / QUEEN ANNE,1961,1.0,1,26000,0,26000,Other,,105.9000015,3179693.0,0.0
Worship Facility,MAGNOLIA / QUEEN ANNE,2009,1.0,3,23241,0,23241,Worship Facility,,31.79999924,403459.0,335751.0
Other,MAGNOLIA / QUEEN ANNE,1962,1.0,1,155795,0,155795,Other,,113.4000015,14798552.0,2874465.0
Other,MAGNOLIA / QUEEN ANNE,2002,1.0,1,21018,0,21018,Other,,83.80000305,1585357.0,0.0
Other,MAGNOLIA / QUEEN ANNE,1998,1.0,1,30533,0,30533,Museum,,206.1999969,2630916.0,3272098.0
Other,MAGNOLIA / QUEEN ANNE,1961,1.0,2,33971,0,33971,Other - Recreation,,353.7000122,9002735.0,8683709.0
Other,MAGNOLIA / QUEEN ANNE,1992,1.0,2,40600,0,40600,Other,,56.40000153,1509514.0,374537.0
Small- and Mid-Sized Office,LAKE UNION,1999,1.0,4,38038,0,38038,Office,Parking,52.70000076,2003807.0,0.0
Small- and Mid-Sized Office,LAKE UNION,2007,1.0,4,64596,24596,40000,Office,Parking,60.70000076,1219486.0,1304742.0
Small- and Mid-Sized Office,LAKE UNION,1928,1.0,3,41466,6062,35404,Office,Laboratory,227.5,5506689.0,3683752.0
Large Office,LAKE UNION,2013,1.0,6,130710,100800,29910,Office,Parking,56.79999924,6677063.0,752359.0
Small- and Mid-Sized Office,LAKE UNION,1926,1.0,4,35780,0,35780,Office,Retail Store,62.59999847,1912760.0,0.0
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1964,1.0,4,25132,7308,17824,Office,Parking,55.59999847,564754.0,0.0
Other,DOWNTOWN,1966,1.0,1,49680,0,49680,Other,,57.29999924,1310105.0,0.0
Other,DOWNTOWN,1962,1.0,1,36314,0,36314,Other,,50.5,1110431.0,391578.0
Other,DOWNTOWN,1916,1.0,2,25920,0,25920,Other - Entertainment/Public Assembly,Restaurant,62.09999847,1257774.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1919,1.0,4,47686,0,47686,Office,Retail Store,60.90000153,1173976.0,0.0
Other,DOWNTOWN,1900,1.0,3,49760,0,49760,Other,,1.799999952,44294.0,0.0
Mixed Use Property,DOWNTOWN,1900,1.0,2,49280,0,49280,Retail Store,Restaurant,110.3000031,4128496.0,1308614.0
Restaurant,DOWNTOWN,1912,1.0,2,25380,0,25380,Restaurant,Food Sales,271.8999939,3202277.0,3699277.0
Small- and Mid-Sized Office,DOWNTOWN,1915,1.0,6,40715,0,40715,Office,Retail Store,69.5,2282146.0,545627.0
Mixed Use Property,DOWNTOWN,1990,1.0,4,82065,34800,47265,Parking,Office,41.29999924,1717131.0,0.0
Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,4,36160,0,36160,Office,,51.5,1862177.0,0.0
Mixed Use Property,DOWNTOWN,1918,1.0,1,34617,0,34617,Other - Restaurant/Bar,Office,148.3999939,2805989.0,2330615.0
Small- and Mid-Sized Office,DOWNTOWN,1909,1.0,5,66900,0,66900,Office,,24.0,1574921.0,59257.0
Mixed Use Property,DOWNTOWN,1910,1.0,3,29340,0,29340,Office,Multifamily Housing,79.59999847,839832.0,1320588.0
Other,DOWNTOWN,1930,0.0,2,22710,0,22710,Food Service,,12.69999981,287763.0,0.0
Small- and Mid-Sized Office,LAKE UNION,2000,1.0,3,50499,13540,36959,Office,Parking,86.69999695,3202764.0,2418.0
Small- and Mid-Sized Office,LAKE UNION,1964,1.0,5,54465,9605,44860,Office,Parking,62.09999847,3251200.0,349371.0
K-12 School,EAST,1930,1.0,2,45960,0,45960,K-12 School,,90.69999695,834638.0,3332616.0
Small- and Mid-Sized Office,LAKE UNION,1959,1.0,2,21128,0,21128,Office,,20.70000076,436604.0,0.0
Mixed Use Property,LAKE UNION,2008,1.0,4,274442,0,274442,Hotel,Parking,54.20000076,5764988.0,3390579.0
Small- and Mid-Sized Office,LAKE UNION,2013,1.0,3,51552,0,51552,Office,Data Center,28.10000038,1539066.0,0.0
Hotel,LAKE UNION,1959,1.0,4,38520,0,38520,Hotel,,72.80000305,1597279.0,1207255.0
Hotel,LAKE UNION,1961,1.0,3,29186,4256,24930,Hotel,,45.59999847,343234.0,523951.0
Worship Facility,LAKE UNION,1960,1.0,1,27338,0,27338,Worship Facility,,21.29999924,581289.0,0.0
Other,EAST,1999,1.0,2,85750,65640,20110,Parking,K-12 School,102.3000031,669413.0,1376179.0
Laboratory,MAGNOLIA / QUEEN ANNE,1962,1.0,2,34416,0,34416,Laboratory,Office,349.1000061,4675400.0,7340535.0
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1930,1.0,3,45864,0,45864,Office,,56.5,480350.0,2110272.0
K-12 School,NORTHWEST,1999,1.0,2,49252,0,49252,K-12 School,,57.09999847,1738749.0,1747116.0
K-12 School,North,1950,1.0,1,34005,0,34005,K-12 School,,19.70000076,921835.0,70083.0
K-12 School,SOUTHWEST,1949,1.0,1,41221,0,41221,K-12 School,,36.90000153,1579221.0,667526.0
Small- and Mid-Sized Office,LAKE UNION,1987,1.0,3,33176,0,33176,Office,Parking,43.0,862441.0,563838.0
Retail Store,LAKE UNION,1993,1.0,3,25194,3764,21430,Retail Store,Medical Office,87.69999695,950029.0,928714.0
